Id,SalePrice
1461,117955.90775166727
1462,160696.20673773295
1463,186909.4388310869
1464,189675.6972594059
1465,215460.60875399146
1466,174695.12326746163
1467,175002.99105217404
1468,170606.77328165
1469,182004.674470116
1470,125719.76112859971
1471,183515.07058796595
1472,92556.95416368623
1473,92864.97768258973
1474,151151.30807326915
1475,120227.39935182073
1476,382515.3062296282
1477,253632.6934807649
1478,298665.7733169155
1479,291823.8424004462
1480,490951.64804455097
1481,343469.7563118254
1482,216071.74785699608
1483,176935.48566844978
1484,164788.69119709346
1485,177543.79750732155
1486,198175.93059362535
1487,349494.51762909186
1488,234198.12188325136
1489,195449.55479661684
1490,247311.58464311887
1491,189230.51106375695
1492,95304.10040091297
1493,169164.09156768012
1494,306830.2553082812
1495,302020.7576454665
1496,231830.5298183953
1497,186799.30973970823
1498,167673.46371160913
1499,167625.3509322416
1500,163653.81493953677
1501,179098.62439529906
1502,157312.27779473524
1503,260488.30621696802
1504,238281.51310461925
1505,231217.18239044468
1506,181436.97239593163
1507,240055.2635935354
1508,182825.0020838894
1509,165561.46614041855
1510,146070.90516734074
1511,143461.21446979124
1512,166336.5416094762
1513,136613.19509330962
1514,160128.29543943072
1515,196229.22409296155
1516,148454.95167667622
1517,164877.3135119569
1518,131558.39511461474
1519,202711.80400482926
1520,139624.35995552767
1521,137976.61113127714
1522,171732.9980138693
1523,111118.89198615367
1524,131178.15810189798
1525,129814.59829989572
1526,121378.97349440324
1527,108805.78331580204
1528,132369.34703496858
1529,151333.05110107322
1530,165986.9732280123
1531,98325.65809362876
1532,97595.02224256398
1533,141898.21174210618
1534,120622.22531017105
1535,157910.44218675132
1536,109410.13946361213
1537,68414.87230834275
1538,145494.1127745189
1539,186473.4684796575
1540,96943.85430676703
1541,135907.4539377768
1542,144857.90683193412
1543,191136.09968920168
1544,72186.41883820019
1545,103942.56533775623
1546,133780.7867799679
1547,127600.09225487811
1548,137642.66274185732
1549,110659.03847201868
1550,139596.68320788885
1551,114804.98726440447
1552,131645.1679668867
1553,159665.5770355083
1554,111890.63111801207
1555,170019.80848240686
1556,97062.50541155283
1557,109550.52852778645
1558,94288.8621660794
1559,91155.82931585473
1560,136850.0495705909
1561,132512.2709290394
1562,129727.90621411108
1563,121385.86483368586
1564,160816.1949126417
1565,145680.0259069738
1566,232618.1171245713
1567,77054.78107785335
1568,234172.59167163976
1569,144631.62438967018
1570,139936.47351104155
1571,117531.36133916011
1572,149503.7809702066
1573,229708.62597525129
1574,115786.46786905578
1575,226583.3521280443
1576,226160.9075505749
1577,184352.48285939294
1578,152433.13205467988
1579,157006.94367204446
1580,193960.686148628
1581,158599.80833158738
1582,136926.4206432947
1583,327191.66122385487
1584,221946.98830308372
1585,146372.75775097832
1586,63491.53307075871
1587,95043.94063955855
1588,142639.74925217053
1589,104856.95618686797
1590,133231.69021025117
1591,96590.47579406113
1592,119318.08325488993
1593,129072.94081822492
1594,126291.05685643645
1595,108470.44709053842
1596,235826.4322207833
1597,207324.05713840105
1598,205509.11357567093
1599,145440.4065052433
1600,149577.5118745281
1601,57754.917098778446
1602,117742.57899648235
1603,88482.48486258351
1604,274040.2136652071
1605,217087.03736604453
1606,165631.50125165255
1607,167809.30878608086
1608,215937.533818166
1609,189173.13020903122
1610,164169.22234814556
1611,142675.85982990323
1612,151275.4882508915
1613,156792.50914753453
1614,119367.3732712367
1615,79680.98816637299
1616,72325.1381909212
1617,86774.77635792653
1618,127415.72720437015
1619,147921.1739983418
1620,162240.2746479428
1621,136338.08947731045
1622,147101.593233953
1623,254692.52350111946
1624,188704.30599617353
1625,128239.85049901642
1626,156385.46673837234
1627,187798.95251754773
1628,254805.2004591525
1629,185872.84597413306
1630,377496.96233081055
1631,216068.16838736535
1632,251584.0993485872
1633,172300.46001643574
1634,199367.29043015305
1635,182122.39994191125
1636,162509.64340880027
1637,198874.36542408078
1638,184279.91084274132
1639,187368.9368276252
1640,278059.9342170043
